city|location|price|bedrooms|baths|size
Lahore|Bahria Town - Sector C, Bahria Town|39000000|5|6|2475
Lahore|Bahria Town - Block CC, Bahria Town - Sector D|19500000|3|4|1125
Lahore|Bahria Town - Sector C, Bahria Town|38800000|5|6|2475
Lahore|Bahria Town - Sector C, Bahria Town|38500000|5|6|2475
Lahore|Valencia Housing Society, Lahore|85000000|6|6|4500
Lahore|Bahria Town - Sector C, Bahria Town|44000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|38000000|5|6|2475
Lahore|DHA Phase 5, DHA Defence|57500000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|70000000|5|6|4500
Lahore|Park View City, Lahore|14700000|4|4|1125
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|DHA Phase 6 - Block C, DHA Phase 6|87500000|6|6|4500
Lahore|Park View City, Lahore|14800000|4|4|1125
Lahore|Jail Road, Lahore|5500000|2|2|518
Lahore|Jail Road, Lahore|6000000|2|2|742
Lahore|Muslim Town, Lahore|5500000|2|2|450
Lahore|Park View City - Tulip Extension Block, Park View City|16500000|4|4|1125
Lahore|Divine Gardens, Lahore|41000000|4|4|2700
Lahore|DHA Phase 7, DHA Defence|67000000|5|6|4500
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|57700000|6|6|4500
Lahore|Bahria Town - Sector C, Bahria Town|49000000|5|5|2430
Lahore|Askari 11, Askari|57500000|4|5|2700
Lahore|DHA Phase 7 - Block Z1, DHA Phase 7|70700000|5|6|4500
Lahore|DHA Phase 7 - Block Q, DHA Phase 7|68600000|5|6|4500
Lahore|Abdul Sattar Edhi Road, Lahore|32500000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|37800000|5|6|2475
Lahore|DHA Phase 7, DHA Defence|85000000|5|5|4500
Lahore|DHA Phase 6, DHA Defence|110000000|5|5|4500
Lahore|DHA Phase 6, DHA Defence|120000000|5|5|4500
Lahore|Bahria Town - Sector C, Bahria Town|37500000|5|6|2475
Lahore|Bahria Town - Sector C, Bahria Town|37000000|5|6|2475
Lahore|Bahria Town - Overseas B, Bahria Town - Overseas Enclave|46500000|7|6|2250
Lahore|Bahria Town - Tulip Block, Bahria Town - Sector C|65000000|5|6|2700
Lahore|Bedian Road, Lahore|65000000|6|6|22500
Lahore|Bedian Road, Lahore|48000000|4|6|36000
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|28500000|5|6|2250
Lahore|Bahria Town - Overseas Enclave, Bahria Town|34500000|5|6|2250
Lahore|Bahria Town - Sector E, Bahria Town|11000000|2|2|698
Lahore|Park View City - Diamond Block, Park View City|17500000|4|6|1125
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|127500000|5|6|4500
Lahore|Cavalry Extension, Lahore|28500000|4|5|1125
Lahore|Gulberg 3, Gulberg|13200000|0|0|495
Lahore|Marghzar Officers Colony - Block R, Marghzar Officers Colony|15500000|0|0|1125
Lahore|Park View - Block D, DHA Phase 8 - Ex Park View|77700000|5|6|4500
